Cheung 6294 2 2.4
Cone 1983 11 3.1
Tab 2215 3 3.0
Campbell 6652 2 4.0
Cannella 1769 8 3.7
Applebee 8399 5 2.1
Smith 4350 12 1.9
Kim 9597 4 4.0
Bryant 6065 7 3.0
Bryan 5189 9 3.5
Bonus 8582 10 3.8
Howell 9381 9 3.4
Anderson 1985 1 2.8
Zhang 9443 4 2.8
Seker 9865 6 4.0
Valentino 5228 6 3.3
Stalnaker 5872 7 2.2
Shea 5669 9 2.7
Olson 2730 11 3.0
Thomas 8911 11 2.6
Price 2877 11 4.0
Moody 6645 12 3.9
Shen 9100 1 4.0
Zawodniak 5847 3 3.8
Hogan 7667 8 2.5
Ahmed 7778 9 2.6
Berry 1255 10 3.6
Bohan 9305 5 1.3
Cao 4573 5 4.0
Choi 1418 1 3.8
Clark 4683 6 3.6
Engineer 7471 7 2.9
Jacobs 8000 11 3.9
Kelly 1536 4 4.0
Loeb 5876 2 3.2
Lowe 6935 8 2.5
Misumi 6950 12 3.7
Bass 7130 5 2.3
Eddington 4228 1 3.9
Deng 5617 3 3.2
Alonso 8857 6 2.1
Christiansen 2587 7 3.4
Goldman 9370 9 2.8
Muhammad 7890 8 4.0
Drew 5678 4 4.0
Peters 2345 11 4.0
Ostrander 4545 9 3.2
Abrams 1289 7 3.3
Montgomery 3289 2 3.1
Alam 5523 11 3.8
Strauss 4317 5 2.9
Copland 2022 4 1.6
Nielsen 2222 6 1.8
Kweon 2632 7 3.8
Tate 1418 9 4.0
Roberts 1711 9 4.0
Green 3009 10 4.0
Potter 1609 8 2.4
Baker 1308 7 3.8
Flynn 2788 11 4.0
Lee 2211 11 3.9
Karas 1911 12 3.6
